HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
100102,31-40,m,10,101,Malinois,,,,I,2010,m,braun/schwarz
140888,31-40,w,10,101,Mops,,,,K,2011,m,schwarz
146752,51-60,m,10,101,English Setter,,,,I,2017,m,orange
127518,41-50,w,10,101,Französische Bulldogge,,,,K,2010,w,gestromt
125995,81-90,m,10,101,Shih Tzu,,,,K,2017,m,schwarz/grau
136750,81-90,w,10,101,Tibet Terrier,,Malteser,,K,2017,w,creme
153294,21-30,w,10,101,Whippet,,,,I,2020,m,tricolor
103617,51-60,w,10,101,Mischling klein,,,,K,2015,w,weiss
99830,31-40,w,10,101,Havaneser,,,,K,2009,w,weiss
155532,21-30,w,10,101,Chihuahua,,,,K,2018,w,beige/weiss
105622,61-70,w,10,101,Flat Coated Retriever,,,,I,2016,w,schwarz
135464,31-40,w,10,101,Weisser Schäferhund (Berger Blanc Suisse),,,,I,2012,m,weiss
84987,71-80,m,10,101,Irish Setter,,,,I,2012,m,mahagoni
99793,51-60,w,10,101,Mischling klein,,,,K,2006,m,schwarz/weiss
142869,31-40,w,10,101,Flat Coated Retriever,,,,I,2018,m,schwarz
125470,21-30,w,10,101,Zwergspitz,,,,K,2014,m,orange
145923,31-40,w,10,101,Havaneser,,,,K,2018,m,schwarz/weiss
155219,51-60,w,10,101,Boxer,,,,I,2016,w,braun
125610,21-30,w,10,101,Deutscher Kleinspitz,,,,K,2014,m,schwarz/grau
127658,31-40,w,10,101,Mischling gross,,,,I,2009,w,schwarz/weiss
153740,31-40,w,10,101,Jack Russel Terrier,Mischling,,,K,2020,m,tricolor
104696,31-40,w,10,101,Chihuahua,,,,K,2017,m,tricolor
89187,51-60,w,10,101,Yorkshire Terrier,,,,K,2017,m,black/tan
80840,51-60,w,10,101,Dalmatiner,Mischling,,,I,2012,m,schwarz/weiss
98655,51-60,m,10,101,West Highland White Terrier,,,,K,2006,m,weiss
127255,41-50,w,10,101,Pinscher,,,,K,2008,w,schwarz/braun
120809,31-40,w,10,101,Jack Russel Terrier,,,,K,2006,m,tricolor
90921,71-80,w,10,101,Tervueren,,,,I,2007,w,fauve
118729,41-50,w,10,101,Papillon,,,,K,2015,w,tricolor
89631,41-50,w,10,101,Whippet,,,,I,2007,w,weiss/braun
81648,41-50,w,10,101,Bolonka Zwetna,,,,K,2016,w,schwarz/weiss
134791,41-50,w,10,101,Parson Russell Terrier,,,,K,2017,m,tricolor
126235,31-40,w,10,101,Parson Jack Russell Terrier,,,,K,2015,w,weiss/braun/schwarz
95653,41-50,m,10,101,Mischling klein,,,,K,2008,w,schwarz
